"week_dat","station","Season","District","monitoring_week","ALCM_count","sum","No_traps","hrs_wet","weekly_CGDD","Total_Rainfall","Mean_mintemp","Mean_maxtemp","Mean_meantemp"
2005-01-24,"HAV","2004-05","Havelock North",18,1522,66915,6,87,5478.3,3.6,39.65,64.7,52.8
2005-01-31,"HAV","2004-05","Havelock North",19,3678,70593,6,171,7000.2,10.2,55.3,70.95,61.75
2005-02-07,"HAV","2004-05","Havelock North",20,4600,75193,6,111,8762.4,15.6,44.95,78.55,62.1
2005-02-14,"HAV","2004-05","Havelock North",21,7152,82345,6,150,10160.1,0,28.85,71.85,51.25
2005-02-21,"HAV","2004-05","Havelock North",22,6542,88887,6,171,11532.9,0,39.95,73.9,57.15
2005-02-28,"HAV","2004-05","Havelock North",23,3082,91969,6,162,12808.2,0,28.95,72.1,50.5
2005-03-07,"HAV","2004-05","Havelock North",24,2315,94284,6,111,14193.3,6,26.3,67.6,48.8
2005-03-14,"HAV","2004-05","Havelock North",25,258,94542,6,207,15340.2,179.4,45.9,62.7,52.9
2005-03-21,"HAV","2004-05","Havelock North",26,87,94629,6,174,16770.3,25.2,42.45,67.3,54.25
2005-03-28,"HAV","2004-05","Havelock North",27,48,94677,6,177,17972.1,10.8,29.3,64.65,46.75
2005-04-04,"HAV","2004-05","Havelock North",28,27,94704,6,168,19015.8,28.2,29.6,60.35,43.3
2005-04-11,"HAV","2004-05","Havelock North",29,82,94786,6,195,19868.7,1.8,23.55,53.7,37.05
2005-04-18,"HAV","2004-05","Havelock North",30,76,94862,6,162,20323.2,28.2,10.7,52.65,29.85
2005-04-25,"HAV","2004-05","Havelock North",31,23,94885,6,135,20627.4,10.8,18.84,55.7,32.8
2005-05-02,"HAV","2004-05","Havelock North",32,13,94898,6,0,21423.3,105.6,22.75,52.6,36.95
2005-05-09,"HAV","2004-05","Havelock North",33,1,94899,6,0,21714,0,6.825,57.05,26.55
2005-05-16,"HAV","2004-05","Havelock North",34,0,94899,6,0,22411.8,63,39.85,53.45,45.75
2005-05-23,"HAV","2004-05","Havelock North",35,0,94899,6,0,0,0,0,0,0
2004-09-27,"RIR","2004-05","Motueka",1,724,724,6,129,1957.8,63.6,11.34,42.2,25.45
2004-10-04,"RIR","2004-05","Motueka",2,613,1337,6,186,2413.2,22.8,23.6,50.1,36.1
2004-10-11,"RIR","2004-05","Motueka",3,4101,5438,6,111,3299.4,110.4,26.3,62.85,44.7
2004-10-18,"RIR","2004-05","Motueka",4,271,5709,6,120,3980.7,43.8,23.8,55.3,38.75
2004-10-25,"RIR","2004-05","Motueka",5,29,5738,6,156,4822.8,58.2,30.75,54.25,41.35
2004-11-01,"RIR","2004-05","Motueka",6,46,5784,6,159,5776.2,0,28.5,65.95,46.55
2004-11-08,"RIR","2004-05","Motueka",7,143,5927,6,192,6888,85.8,34.9,59.75,46.95
2004-11-15,"RIR","2004-05","Motueka",8,1660,7587,6,90,7831.2,0.6,22.1,62,43.25
2004-11-22,"RIR","2004-05","Motueka",9,2079,9666,6,180,8649,75.6,19.75,52.05,36.8
2004-11-29,"RIR","2004-05","Motueka",10,1615,11281,6,69,9530.7,13.2,25.2,60,42.9
2004-12-06,"RIR","2004-05","Motueka",11,1663,12944,6,33,10404.3,0,20.3,60.6,41.45
2004-12-13,"RIR","2004-05","Motueka",12,1991,14935,6,228,25346.1,142.2,24.7153846153846,57.8076923076923,41.5615384615385
2004-12-27,"RIR","2004-05","Motueka",13,1344,16279,6,273,8718.9,337.8,37.15,58.55,47.05
2005-01-03,"RIR","2004-05","Motueka",14,1274,17553,6,171,1091.7,237,37.7,65.15,49.6
2005-01-10,"RIR","2004-05","Motueka",15,9128,26681,6,72,2341.2,0,36.45,73.85,55.6
2005-01-17,"RIR","2004-05","Motueka",16,20889,47570,6,96,3672,0,33.15,68.6,51.15
2005-01-24,"RIR","2004-05","Motueka",17,24218,71788,6,195,5086.2,0,35.1,71.1,53.5
2005-01-31,"RIR","2004-05","Motueka",18,15510,87298,6,150,6807,0.6,54,86,68.55
2005-02-07,"RIR","2004-05","Motueka",19,2592,89890,6,300,19899.3,118.8,34.6153846153846,69.3923076923077,52.6384615384615
2005-02-21,"RIR","2004-05","Motueka",20,1757,91647,6,222,11098.2,17.4,37.25,70.45,53.85
2005-02-28,"RIR","2004-05","Motueka",21,12888,104535,6,162,12329.1,34.8,32.3,69.5,51.3
2005-03-07,"RIR","2004-05","Motueka",22,9112,113647,6,138,13478.7,0.6,22.95,64.45,44.2
2005-03-14,"RIR","2004-05","Motueka",23,2588,116235,6,393,33272.7,506.4,39.2538461538462,69.9230769230769,52.8923076923077
2005-03-28,"RIR","2004-05","Motueka",24,1162,117397,6,285,17035.2,69,29.95,56.55,41.9
2005-04-04,"RIR","2004-05","Motueka",25,16,117413,6,141,17822.4,4.8,18.8,59.35,37.1
2005-04-11,"RIR","2004-05","Motueka",26,1,117414,6,225,18477.9,0,18.5,59.15,37.1
2005-04-18,"RIR","2004-05","Motueka",27,2,117416,6,198,19045.5,4.8,16.74,52.25,30.4
2005-04-25,"RIR","2004-05","Motueka",28,0,117416,6,147,19363.5,1.2,11.35,52.45,29.4
2005-05-02,"RIR","2004-05","Motueka",29,0,117416,6,0,0,0,0,0,0
2004-09-27,"PAK","2004-05","Pakowhai",1,625,625,2,41,1429.9,8,6.16,16.5166666666667,10.1666666666667
2004-10-04,"PAK","2004-05","Pakowhai",2,252,877,2,65,1641.8,33,8.63333333333333,17.85,13.1
2004-10-11,"PAK","2004-05","Pakowhai",3,614,1491,2,10,2014.1,73.6,11.4333333333333,23.6333333333333,18.1166666666667
2004-10-18,"PAK","2004-05","Pakowhai",4,309,1800,2,56,2279.3,0.8,7.68333333333333,18.75,12.8
2004-10-25,"PAK","2004-05","Pakowhai",5,192,1992,2,51,2603.8,4.2,9.26666666666667,20.0666666666667,14.4333333333333
2004-11-01,"PAK","2004-05","Pakowhai",6,75,2067,2,45,2906.7,0,10.0166666666667,21.2,15.6333333333333
2004-11-08,"PAK","2004-05","Pakowhai",7,340,2407,2,59,3332.7,10.9,12.6666666666667,22.5166666666667,17.3833333333333
2004-11-15,"PAK","2004-05","Pakowhai",8,1171,3578,2,22,3729.8,0,9.35,22.95,16.3666666666667
2004-11-22,"PAK","2004-05","Pakowhai",9,1564,5142,2,41,4081.1,7.5,9.16666666666667,19.6333333333333,13.95
2004-11-29,"PAK","2004-05","Pakowhai",10,488,5630,2,20,4479.9,42.6,11.6,23.4666666666667,17.1
2004-12-06,"PAK","2004-05","Pakowhai",11,603,6233,2,40,4798.1,2,7.21666666666667,20.7166666666667,14.2833333333333
2004-12-13,"PAK","2004-05","Pakowhai",12,516,6749,2,36,5166,14.7,8.66666666666667,21.3833333333333,15.0833333333333
2004-12-20,"PAK","2004-05","Pakowhai",13,169,6918,2,59,5469.5,18.6,8.43333333333333,20.85,14.6
2004-12-27,"PAK","2004-05","Pakowhai",14,310,7228,2,52,3909.6,21.9,13.3666666666667,24.1833333333333,18.6166666666667
2005-01-03,"PAK","2004-05","Pakowhai",15,1796,9024,2,38,473.7,10.7,14.5666666666667,26.3,19.9666666666667
2005-01-10,"PAK","2004-05","Pakowhai",16,6720,15744,2,43,909.4,0.1,10.7833333333333,24.7666666666667,18.05
2005-01-17,"PAK","2004-05","Pakowhai",17,4520,20264,2,38,1419.9,0,10.6166666666667,25.7833333333333,18.5833333333333
2005-01-24,"PAK","2004-05","Pakowhai",18,2180,22444,2,32,1933.2,2.7,13.8333333333333,23.2833333333333,18.25
2005-01-31,"PAK","2004-05","Pakowhai",19,635,23079,2,78,2454.5,8.5,17.9833333333333,24.65,20.7333333333333
2005-02-07,"PAK","2004-05","Pakowhai",20,980,24059,2,47,3060.1,6.1,16.05,27.6,21.2666666666667
2005-02-14,"PAK","2004-05","Pakowhai",21,782,24841,2,56,3554.8,0,10.6166666666667,25.4666666666667,17.75
2005-02-21,"PAK","2004-05","Pakowhai",22,1260,26101,2,61,4035.5,0.9,13.65,26.0333333333333,19.5833333333333
2005-02-28,"PAK","2004-05","Pakowhai",23,1460,27561,2,55,4482.5,0,9.85,25.1333333333333,17.4333333333333
2005-03-07,"PAK","2004-05","Pakowhai",24,1442,29003,2,48,4955.9,2,9.7,23.3166666666667,16.6333333333333
2005-03-14,"PAK","2004-05","Pakowhai",25,87,29090,2,79,5350.7,82.6,15.9833333333333,21.2166666666667,17.9
2005-03-21,"PAK","2004-05","Pakowhai",26,21,29111,2,70,5835.9,21.4,13.95,23.9333333333333,18.2833333333333
2005-03-28,"PAK","2004-05","Pakowhai",27,24,29135,2,73,6253.4,2.2,9.91666666666667,22.85,15.8333333333333
2005-04-04,"PAK","2004-05","Pakowhai",28,23,29158,2,63,6620.1,15.6,10.2833333333333,21.1666666666667,15.05
2005-04-11,"PAK","2004-05","Pakowhai",29,21,29179,2,70,6922.7,7.8,8.38333333333333,18.9833333333333,12.85
2005-04-18,"PAK","2004-05","Pakowhai",30,38,29217,2,59,7111,10.7,4.85,18.6333333333333,10.9166666666667
2005-04-25,"PAK","2004-05","Pakowhai",31,7,29224,2,53,7248.1,5,6.46666666666667,19.3833333333333,12.4333333333333
2005-05-02,"PAK","2004-05","Pakowhai",32,3,29227,2,0,7546.8,49.5,7.9,18.4166666666667,12.6333333333333
2005-05-09,"PAK","2004-05","Pakowhai",33,1,29228,2,0,7677.1,0.7,3.2,19.4,10.05
2005-05-16,"PAK","2004-05","Pakowhai",34,0,29228,2,0,7921.6,31.5,12.9,18,15.0333333333333
2005-05-23,"PAK","2004-05","Pakowhai",35,0,29228,2,0,0,0,0,0,0
2004-09-27,"LND","2004-05","Waimea",1,153,153,2,37,811.8,10.2,3.63333333333333,14.2,9.05
2004-10-04,"LND","2004-05","Waimea",2,47,200,2,52,990.6,9,8.68333333333333,17.2833333333333,12.55
2004-10-11,"LND","2004-05","Waimea",3,581,781,2,34,1295.4,28.3,9.23333333333333,21.1833333333333,14.85
2004-10-18,"LND","2004-05","Waimea",4,26,807,2,41,1539.3,11,8.48333333333333,18.55,13.1833333333333
2004-10-25,"LND","2004-05","Waimea",5,11,818,2,28,1824.8,10.6,9.41666666666667,18.0833333333333,13.5833333333333
2004-11-01,"LND","2004-05","Waimea",6,18,836,2,35,2140.4,0,10.5833333333333,20.3833333333333,15.4833333333333
2004-11-08,"LND","2004-05","Waimea",7,33,869,2,52,2528.4,28.7,12.0833333333333,21.05,16.45
2004-11-15,"LND","2004-05","Waimea",8,200,1069,2,32,2860,0.2,8.23333333333333,21.7833333333333,14.8
2004-11-22,"LND","2004-05","Waimea",9,1364,2433,2,33,3148.6,34.3,7.11666666666667,18.15,12.6333333333333
2004-11-29,"LND","2004-05","Waimea",10,612,3045,2,21,3451.4,2.8,8.91666666666667,20.3166666666667,14.4666666666667
2004-12-06,"LND","2004-05","Waimea",11,958,4003,2,16,3765.3,0.2,8.66666666666667,20.4833333333333,14.5833333333333
2004-12-13,"LND","2004-05","Waimea",12,388,4391,2,112,9107.8,74.2,8.62307692307692,19.4230769230769,13.7538461538462
2004-12-27,"LND","2004-05","Waimea",13,451,4842,2,75,3110.4,61.1,11.95,19.7166666666667,15.65
2005-01-03,"LND","2004-05","Waimea",14,148,4990,2,53,358,37.6,12.4,21.3,16.4833333333333
2005-01-10,"LND","2004-05","Waimea",15,1560,6550,2,21,785.6,0,13.4666666666667,24.6166666666667,19.35
2005-01-17,"LND","2004-05","Waimea",16,2614,9164,2,28,1251.6,0.4,11.5666666666667,22.1,17.0333333333333
2005-01-24,"LND","2004-05","Waimea",17,3040,12204,2,34,1722.5,0.8,12.9,23.6666666666667,18.3333333333333
2005-01-31,"LND","2004-05","Waimea",18,3624,15828,2,34,2310.1,17.5,18.3166666666667,28.75,22.8666666666667
2005-02-07,"LND","2004-05","Waimea",19,1222,17050,2,100,6743.4,32,12.1692307692308,23.7615384615385,17.8923076923077
2005-02-21,"LND","2004-05","Waimea",20,239,17289,2,52,3769.8,3.9,13.0333333333333,23.2333333333333,17.9833333333333
2005-02-28,"LND","2004-05","Waimea",21,562,17851,2,39,4200.7,8,11.25,22.7,17.35
2005-03-07,"LND","2004-05","Waimea",22,736,18587,2,9,4597.2,1.7,8.8,21.85,15.1333333333333
2005-03-14,"LND","2004-05","Waimea",23,388,18975,2,93,11375.9,86.3,13.6153846153846,23.6692307692308,18.0538461538462
2005-03-28,"LND","2004-05","Waimea",24,227,19202,2,48,5843.4,13.1,10.25,19.9833333333333,14.2833333333333
2005-04-04,"LND","2004-05","Waimea",25,3,19205,2,16,6136.4,2.4,7.8,20.3666666666667,13.3666666666667
2005-04-11,"LND","2004-05","Waimea",26,3,19208,2,55,6393.8,0,7.33333333333333,20.1,13.1
2005-04-18,"LND","2004-05","Waimea",27,1,19209,2,40,6629.8,0,5.03333333333333,17.7,11.4166666666667
2005-04-25,"LND","2004-05","Waimea",28,0,19209,2,18,6784,0.1,4.23333333333333,18.3333333333333,11.0833333333333
2005-05-02,"LND","2004-05","Waimea",29,1,19210,2,0,0,0,0,0,0
2005-09-12,"HAV","2005-06","Havelock North",1,619,619,4,0,17862,47.2,20.9666666666667,37.4,28
2005-09-19,"HAV","2005-06","Havelock North",2,105,724,4,0,18145,7.2,7.88,33.1,18.2333333333333
2005-09-26,"HAV","2005-06","Havelock North",3,1122,1846,4,0,18599.4,12.4,15.4666666666667,38.0666666666667,26.2333333333333
2005-10-03,"HAV","2005-06","Havelock North",4,238,2084,4,0,19069.4,23.6,10.2333333333333,35.7333333333333,23.4
2005-10-10,"HAV","2005-06","Havelock North",5,121,2205,4,0,19494,45.2,17.2666666666667,34.8,25.7
2005-10-17,"HAV","2005-06","Havelock North",6,100,2305,4,0,20022.8,177.2,17.0333333333333,32.3666666666667,24.5666666666667
2005-10-24,"HAV","2005-06","Havelock North",7,29,2334,4,0,20491.2,0,15.6666666666667,39.7,28.5
2005-10-31,"HAV","2005-06","Havelock North",8,315,2649,4,0,21129,5.2,17.4666666666667,41.2333333333333,29.8
2005-11-07,"HAV","2005-06","Havelock North",9,1199,3848,7,0,32700.3,0,25.15,68.7,48.45
2005-11-14,"HAV","2005-06","Havelock North",10,11634,15482,10,0,44934,0,34,85.8666666666667,61.2666666666667
2005-11-21,"HAV","2005-06","Havelock North",11,5244,20726,10,0,46096.8,136,30.5333333333333,63.6,46.2666666666667
2005-11-28,"HAV","2005-06","Havelock North",12,1974,22700,10,0,47118.8,0.8,40.4,82.6666666666667,62.4
2005-12-05,"HAV","2005-06","Havelock North",13,4834,27534,10,0,49016,36,57.3333333333333,97,76
2005-12-12,"HAV","2005-06","Havelock North",14,2215,29749,10,0,51126.4,16,62.5333333333333,89.9333333333333,76.6666666666667
2005-12-19,"HAV","2005-06","Havelock North",15,7809,37558,10,0,53086.8,22.4,47.0666666666667,93,70.4666666666667
2005-12-26,"HAV","2005-06","Havelock North",16,29888,67446,10,0,45602,0,44.9333333333333,96.4,71.0666666666667
2006-01-02,"HAV","2005-06","Havelock North",17,12392,79838,10,0,1514.8,22.4,41.2666666666667,100,69.8666666666667
2006-01-09,"HAV","2005-06","Havelock North",18,11849,91687,10,0,3289.2,1.6,44.3333333333333,96.9333333333333,72
2006-01-16,"HAV","2005-06","Havelock North",19,6074,97761,10,0,5131.6,38.4,43.6666666666667,92.4666666666667,69.7333333333333
2006-01-23,"HAV","2005-06","Havelock North",20,2916,100677,10,0,7038.8,120,66.4,93.8666666666667,77
2006-01-30,"HAV","2005-06","Havelock North",21,6278,106955,10,0,9322.8,35.2,64.8,98.4666666666667,79.4666666666667
2006-02-06,"HAV","2005-06","Havelock North",22,13552,120507,10,0,11108.4,95.6,49.4666666666667,92.1333333333333,72.8
2006-02-13,"HAV","2005-06","Havelock North",23,22358,142865,10,0,13135.6,0,57.4666666666667,94.8,76.1333333333333
2006-02-20,"HAV","2005-06","Havelock North",24,17268,160133,10,0,15006.4,1.6,38.4,100.066666666667,68
2006-02-27,"HAV","2005-06","Havelock North",25,5338,165471,10,0,16408,11.2,27.8,80.3333333333333,55.8
2006-03-06,"HAV","2005-06","Havelock North",26,3041,168512,10,0,17956.8,0,36.9333333333333,96.6,66.2666666666667
2006-03-13,"HAV","2005-06","Havelock North",27,543,169055,10,0,19354.4,0,40.9333333333333,88.8666666666667,65.8666666666667
2006-03-20,"HAV","2005-06","Havelock North",28,894,169949,10,0,21008,190.4,55,75.9333333333333,63.7333333333333
2006-03-27,"HAV","2005-06","Havelock North",29,449,170398,10,0,22383.6,18.4,45.2,75.2666666666667,58.9333333333333
2006-04-03,"HAV","2005-06","Havelock North",30,421,170819,10,0,53216.4,8,31.3538461538462,83.4461538461538,56.9846153846154
2006-04-17,"HAV","2005-06","Havelock North",31,64,170883,10,0,58186,516,38.2769230769231,78.0615384615385,57.8769230769231
2006-05-01,"HAV","2005-06","Havelock North",32,21,170904,10,0,97272.8,182.4,23.28,63.38,41.52
2006-05-22,"HAV","2005-06","Havelock North",33,0,170904,10,0,0,0,0,0,0
2005-08-22,"RIR","2005-06","Motueka",1,2,2,2,68,7543.9,26,4.95,15.5333333333333,10.0666666666667
2005-08-29,"RIR","2005-06","Motueka",2,2,4,6,195,23004.3,0,17.5,47.3,31.2
2005-09-05,"RIR","2005-06","Motueka",3,134,138,6,138,23613,0.6,21,52,36.7
2005-09-12,"RIR","2005-06","Motueka",4,574,712,6,180,24238.2,58.2,22.6,50.35,34.8
2005-09-19,"RIR","2005-06","Motueka",5,577,1289,6,141,24518.7,0,13.02,48.4,28.6
2005-09-26,"RIR","2005-06","Motueka",6,811,2100,6,192,25105.8,7.8,19.65,51.55,35.45
2005-10-03,"RIR","2005-06","Motueka",7,439,2539,6,165,25638,67.2,12.95,49.7,30.75
2005-10-10,"RIR","2005-06","Motueka",8,79,2618,6,147,26206.8,0.6,23.15,55.35,38.75
2005-10-17,"RIR","2005-06","Motueka",9,180,2798,6,213,26911.8,37.2,19.8,52.7,36.85
2005-10-24,"RIR","2005-06","Motueka",10,51,2849,6,111,27690.6,16.2,24.15,62.6,43.3
2005-10-31,"RIR","2005-06","Motueka",11,36,2885,6,93,28743.9,0.6,30.8,66.5,48.6
2005-11-07,"RIR","2005-06","Motueka",12,117,3002,6,159,29763.6,9.6,23.4,65.35,44.6
2005-11-14,"RIR","2005-06","Motueka",13,746,3748,6,108,30640.2,9.6,23.35,60.65,42.95
2005-11-21,"RIR","2005-06","Motueka",14,861,4609,6,174,31506.9,25.2,19.3,52.75,37.45
2005-11-28,"RIR","2005-06","Motueka",15,749,5358,6,72,32415.6,0.6,35.2,65.25,50.2
2005-12-05,"RIR","2005-06","Motueka",16,881,6239,6,159,33823.8,34.2,44.1,70.05,55.2
2005-12-12,"RIR","2005-06","Motueka",17,827,7066,6,210,35371.2,39.6,49.15,71.1,58.75
2005-12-19,"RIR","2005-06","Motueka",18,686,7752,6,267,75769.8,58.2,33.21,71.025,52.26
2006-01-09,"RIR","2005-06","Motueka",19,2796,10548,6,171,2164.5,3.6,30.8,68.75,49.55
2006-01-16,"RIR","2005-06","Motueka",20,1395,11943,6,114,3292.2,19.2,28.1,65.7,47.6
2006-01-23,"RIR","2005-06","Motueka",21,675,12618,6,225,4579.2,213,38.7,72.6,55.7
2006-01-30,"RIR","2005-06","Motueka",22,869,13487,6,93,6177,5.4,43.1,72.7,56.7
2006-02-06,"RIR","2005-06","Motueka",23,765,14252,6,339,17500.2,135.6,35.4692307692308,68.7,52.1769230769231
2006-02-20,"RIR","2005-06","Motueka",24,2810,17062,6,132,10107,0,27.8,71.45,50.15
2006-02-27,"RIR","2005-06","Motueka",25,774,17836,6,177,25251.9,0,20.0538461538462,65.5846153846154,43.4076923076923
2006-03-13,"RIR","2005-06","Motueka",26,650,18486,6,345,29557.8,43.2,31.2,63.0692307692308,46.1307692307692
2006-03-27,"RIR","2005-06","Motueka",27,35,18521,6,1008,74022.9,474,27.5888888888889,57.7111111111111,41.0333333333333
2006-04-24,"RIR","2005-06","Motueka",28,6,18527,6,228,18429.3,91.8,25.7,54.1,37.15
2006-05-01,"RIR","2005-06","Motueka",29,0,18527,6,0,18961.5,4.8,18,51.5,32.3
2006-05-08,"RIR","2005-06","Motueka",30,0,18527,6,0,0,0,0,0,0
2005-05-23,"PAK","2005-06","Pakowhai",1,0,0,2,864,116689.1,107.1,4.53287671232877,16.6075,9.9025
2005-09-12,"PAK","2005-06","Pakowhai",2,507,507,2,59,9731.3,29.7,10.55,19.4833333333333,14.25
2005-09-19,"PAK","2005-06","Pakowhai",3,44,551,2,64,9894.6,2,4.96,16.9166666666667,10.05
2005-09-26,"PAK","2005-06","Pakowhai",4,912,1463,2,52,10146.5,8.1,8.23333333333333,19.7333333333333,13.65
2005-10-03,"PAK","2005-06","Pakowhai",5,334,1797,2,39,10398.4,17.9,5.86666666666667,17.8833333333333,12.1333333333333
2005-10-10,"PAK","2005-06","Pakowhai",6,58,1855,2,81,10629.6,29.6,8.91666666666667,18.1,13.2333333333333
2005-10-17,"PAK","2005-06","Pakowhai",7,75,1930,2,90,10910.1,80.9,8.95,17.2833333333333,12.6666666666667
2005-10-24,"PAK","2005-06","Pakowhai",8,57,1987,2,65,11177.2,0,8.9,21.3833333333333,15.15
2005-10-31,"PAK","2005-06","Pakowhai",9,47,2034,2,32,11536.5,0.8,10.1,21.4166666666667,15.9
2005-11-07,"PAK","2005-06","Pakowhai",10,342,2376,2,53,11899.8,0,9.98333333333333,23.9,17.0833333333333
2005-11-14,"PAK","2005-06","Pakowhai",11,2345,4721,2,43,12262.8,0,9.06666666666667,22.3166666666667,15.9666666666667
2005-11-21,"PAK","2005-06","Pakowhai",12,1035,5756,2,59,12576.3,30.1,8.43333333333333,16.3666666666667,11.9
2005-11-28,"PAK","2005-06","Pakowhai",13,523,6279,2,43,12840.3,0.4,10.5666666666667,21.4166666666667,16.0833333333333
2005-12-05,"PAK","2005-06","Pakowhai",14,991,7270,2,56,13340.2,9.2,14.75,26.4666666666667,19.75
2005-12-12,"PAK","2005-06","Pakowhai",15,494,7764,2,56,13894.5,12.4,15.3666666666667,24.8833333333333,19.7333333333333
2005-12-19,"PAK","2005-06","Pakowhai",16,685,8449,2,28,14397.6,5.4,12.5166666666667,23.7666666666667,17.8833333333333
2005-12-26,"PAK","2005-06","Pakowhai",17,2712,11161,2,49,12360.8,0,12.05,25.9833333333333,18.6166666666667
2006-01-02,"PAK","2005-06","Pakowhai",18,2107,13268,2,16,397.2,7.2,11.05,25.6833333333333,18.2666666666667
2006-01-09,"PAK","2005-06","Pakowhai",19,1828,15096,2,41,890,0,11.55,26.4833333333333,19.2666666666667
2006-01-16,"PAK","2005-06","Pakowhai",20,896,15992,2,58,1389.5,8.7,11.3833333333333,25.5833333333333,18.5333333333333
2006-01-23,"PAK","2005-06","Pakowhai",21,56,16048,2,70,1897,19.9,16.2166666666667,24.6833333333333,19.6333333333333
2006-01-30,"PAK","2005-06","Pakowhai",22,162,16210,2,39,2486.8,5.4,16.35,25.95,20.2833333333333
2006-02-06,"PAK","2005-06","Pakowhai",23,508,16718,2,57,2956.5,23.5,12.7166666666667,25.45,18.8666666666667
2006-02-13,"PAK","2005-06","Pakowhai",24,1014,17732,2,31,3494.1,1.6,14.9333333333333,26.4333333333333,19.9
2006-02-20,"PAK","2005-06","Pakowhai",25,2756,20488,2,49,4005.9,0.4,10.9166666666667,26.8833333333333,18.1666666666667
2006-02-27,"PAK","2005-06","Pakowhai",26,672,21160,2,15,4422.4,0.4,8.63333333333333,21.3833333333333,15.1333333333333
2006-03-06,"PAK","2005-06","Pakowhai",27,372,21532,2,30,4830.4,0.2,10.2166666666667,25.15,17.0166666666667
2006-03-13,"PAK","2005-06","Pakowhai",28,44,21576,2,43,5209.9,0.2,10.7333333333333,24.6166666666667,17.15
2006-03-20,"PAK","2005-06","Pakowhai",29,36,21612,2,104,5637,64.7,13.6666666666667,20.3166666666667,15.9833333333333
2006-03-27,"PAK","2005-06","Pakowhai",30,8,21620,2,54,5990.6,5.2,11.4333333333333,20.1166666666667,15.2333333333333
2006-04-03,"PAK","2005-06","Pakowhai",31,54,21674,2,123,14226,4.7,8.18461538461538,22.2461538461538,14.7384615384615
2006-04-17,"PAK","2005-06","Pakowhai",32,5,21679,2,185,15542.6,135.8,9.85384615384615,21.0230769230769,14.7538461538462
2006-05-01,"PAK","2005-06","Pakowhai",33,10,21689,2,0,26001.5,52.6,6.28,17.42,11.05
2006-05-22,"PAK","2005-06","Pakowhai",34,0,21689,2,0,0,0,0,0,0
2005-08-29,"LND","2005-06","Waimea",1,2,2,2,50,8355.9,0,5.83333333333333,15.7666666666667,10.4666666666667
2005-09-05,"LND","2005-06","Waimea",2,7,9,2,44,8569.4,0.3,7.43333333333333,17.1333333333333,12.0166666666667
2005-09-12,"LND","2005-06","Waimea",3,6,15,2,47,8763.8,4.7,6.71666666666667,17.3333333333333,11.6833333333333
2005-09-19,"LND","2005-06","Waimea",4,1,16,2,39,8868.7,0.5,4.88,16.7333333333333,10.1666666666667
2005-09-26,"LND","2005-06","Waimea",5,31,47,2,43,9072.2,1.8,5.25,17.9166666666667,12.1166666666667
2005-10-03,"LND","2005-06","Waimea",6,51,98,2,42,9271.4,20.1,4.1,17.2,10.6666666666667
2005-10-10,"LND","2005-06","Waimea",7,11,109,2,32,9469.6,0,7.86666666666667,18.65,13.1333333333333
2005-10-17,"LND","2005-06","Waimea",8,1,110,2,40,9722.8,2,7.86666666666667,18.3,13.0833333333333
2005-10-24,"LND","2005-06","Waimea",9,1,111,2,52,9999.8,0.7,7.5,20.7,14.3166666666667
2005-10-31,"LND","2005-06","Waimea",10,1,112,2,14,10381.7,0,12.1833333333333,22.9166666666667,17.6166666666667
